instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weekday_nome,estacao_nome,tempo_nome,temp_norm,hum_norm,windspeed_norm
3083,2011-05-13,2,0,5,8,0,5,1,2,0.5,0.4848,0.88,0.194,26,361,387,Sex,Primavera,Nublado,0.4897959183673469,0.88,0.22804749030210417
3084,2011-05-13,2,0,5,9,0,5,1,2,0.5,0.4848,0.88,0.194,18,215,233,Sex,Primavera,Nublado,0.4897959183673469,0.88,0.22804749030210417
3085,2011-05-13,2,0,5,10,0,5,1,2,0.52,0.5,0.83,0.1343,31,99,130,Sex,Primavera,Nublado,0.5102040816326531,0.83,0.15786998942047725
3086,2011-05-13,2,0,5,11,0,5,1,2,0.52,0.5,0.83,0.1642,56,90,146,Sex,Primavera,Nublado,0.5102040816326531,0.83,0.19301751498765723
3087,2011-05-13,2,0,5,12,0,5,1,2,0.52,0.5,0.88,0.194,53,170,223,Sex,Primavera,Nublado,0.5102040816326531,0.88,0.22804749030210417
3088,2011-05-13,2,0,5,13,0,5,1,2,0.52,0.5,0.88,0.3881,69,157,226,Sex,Primavera,Nublado,0.5102040816326531,0.88,0.45621253085694136
3089,2011-05-13,2,0,5,14,0,5,1,2,0.52,0.5,0.87,0.2836,70,120,190,Sex,Primavera,Nublado,0.5102040816326531,0.87,0.33337251675091106
3090,2011-05-13,2,0,5,15,0,5,1,2,0.52,0.5,0.88,0.1642,56,142,198,Sex,Primavera,Nublado,0.5102040816326531,0.88,0.19301751498765723
3091,2011-05-13,2,0,5,16,0,5,1,2,0.52,0.5,0.88,0.1343,44,256,300,Sex,Primavera,Nublado,0.5102040816326531,0.88,0.15786998942047725
3092,2011-05-13,2,0,5,17,0,5,1,3,0.52,0.5,0.88,0.1642,62,429,491,Sex,Primavera,Chuva leve,0.5102040816326531,0.88,0.19301751498765723
3093,2011-05-13,2,0,5,18,0,5,1,3,0.52,0.5,0.88,0.1642,39,359,398,Sex,Primavera,Chuva leve,0.5102040816326531,0.88,0.19301751498765723
3094,2011-05-13,2,0,5,19,0,5,1,2,0.52,0.5,0.83,0.194,25,245,270,Sex,Primavera,Nublado,0.5102040816326531,0.83,0.22804749030210417
3095,2011-05-13,2,0,5,20,0,5,1,2,0.52,0.5,0.83,0.1343,22,130,152,Sex,Primavera,Nublado,0.5102040816326531,0.83,0.15786998942047725
3096,2011-05-13,2,0,5,21,0,5,1,2,0.52,0.5,0.84,0.1642,24,130,154,Sex,Primavera,Nublado,0.5102040816326531,0.84,0.19301751498765723
3097,2011-05-13,2,0,5,22,0,5,1,2,0.52,0.5,0.83,0.2239,25,107,132,Sex,Primavera,Nublado,0.5102040816326531,0.83,0.2631950158692841
3098,2011-05-13,2,0,5,23,0,5,1,3,0.5,0.4848,0.88,0.1642,31,88,119,Sex,Primavera,Chuva leve,0.4897959183673469,0.88,0.19301751498765723
3099,2011-05-14,2,0,5,0,0,6,0,2,0.5,0.4848,0.88,0.1343,24,78,102,Sáb,Primavera,Nublado,0.4897959183673469,0.88,0.15786998942047725
3100,2011-05-14,2,0,5,1,0,6,0,2,0.5,0.4848,0.88,0.1343,18,64,82,Sáb,Primavera,Nublado,0.4897959183673469,0.88,0.15786998942047725
3101,2011-05-14,2,0,5,2,0,6,0,2,0.5,0.4848,0.88,0.1343,15,37,52,Sáb,Primavera,Nublado,0.4897959183673469,0.88,0.15786998942047725
3102,2011-05-14,2,0,5,3,0,6,0,2,0.5,0.4848,0.88,0.1343,5,30,35,Sáb,Primavera,Nublado,0.4897959183673469,0.88,0.15786998942047725
3103,2011-05-14,2,0,5,4,0,6,0,2,0.5,0.4848,0.82,0.1642,1,4,5,Sáb,Primavera,Nublado,0.4897959183673469,0.82,0.19301751498765723
3104,2011-05-14,2,0,5,5,0,6,0,2,0.5,0.4848,0.82,0.1045,7,7,14,Sáb,Primavera,Nublado,0.4897959183673469,0.82,0.12284001410603033
3105,2011-05-14,2,0,5,6,0,6,0,2,0.5,0.4848,0.88,0.1045,2,9,11,Sáb,Primavera,Nublado,0.4897959183673469,0.88,0.12284001410603033
3106,2011-05-14,2,0,5,7,0,6,0,3,0.48,0.4697,1.0,0.0,4,28,32,Sáb,Primavera,Chuva leve,0.4693877551020408,1.0,0.0
3107,2011-05-14,2,0,5,8,0,6,0,3,0.5,0.4848,0.94,0.0,16,72,88,Sáb,Primavera,Chuva leve,0.4897959183673469,0.94,0.0
3108,2011-05-14,2,0,5,9,0,6,0,2,0.52,0.5,0.94,0.0896,14,86,100,Sáb,Primavera,Nublado,0.5102040816326531,0.94,0.10532502644880687
3109,2011-05-14,2,0,5,10,0,6,0,2,0.52,0.5,0.94,0.1642,34,133,167,Sáb,Primavera,Nublado,0.5102040816326531,0.94,0.19301751498765723
3110,2011-05-14,2,0,5,11,0,6,0,2,0.52,0.5,0.94,0.1343,72,207,279,Sáb,Primavera,Nublado,0.5102040816326531,0.94,0.15786998942047725
3111,2011-05-14,2,0,5,12,0,6,0,3,0.52,0.5,1.0,0.0896,75,204,279,Sáb,Primavera,Chuva leve,0.5102040816326531,1.0,0.10532502644880687
3112,2011-05-14,2,0,5,13,0,6,0,3,0.52,0.5,1.0,0.0896,68,180,248,Sáb,Primavera,Chuva leve,0.5102040816326531,1.0,0.10532502644880687
3113,2011-05-14,2,0,5,14,0,6,0,2,0.54,0.5152,0.94,0.1343,57,159,216,Sáb,Primavera,Nublado,0.5306122448979592,0.94,0.15786998942047725
3114,2011-05-14,2,0,5,15,0,6,0,2,0.54,0.5152,0.94,0.1642,73,221,294,Sáb,Primavera,Nublado,0.5306122448979592,0.94,0.19301751498765723
3115,2011-05-14,2,0,5,16,0,6,0,2,0.54,0.5152,0.94,0.194,107,188,295,Sáb,Primavera,Nublado,0.5306122448979592,0.94,0.22804749030210417
3116,2011-05-14,2,0,5,17,0,6,0,2,0.56,0.5303,0.88,0.194,78,194,272,Sáb,Primavera,Nublado,0.5510204081632654,0.88,0.22804749030210417
3117,2011-05-14,2,0,5,18,0,6,0,2,0.56,0.5303,0.88,0.2239,88,216,304,Sáb,Primavera,Nublado,0.5510204081632654,0.88,0.2631950158692841
3118,2011-05-14,2,0,5,19,0,6,0,3,0.54,0.5152,0.94,0.1343,69,179,248,Sáb,Primavera,Chuva leve,0.5306122448979592,0.94,0.15786998942047725
3119,2011-05-14,2,0,5,20,0,6,0,3,0.54,0.5152,0.94,0.1343,42,115,157,Sáb,Primavera,Chuva leve,0.5306122448979592,0.94,0.15786998942047725
3120,2011-05-14,2,0,5,21,0,6,0,3,0.54,0.5152,0.94,0.2239,15,44,59,Sáb,Primavera,Chuva leve,0.5306122448979592,0.94,0.2631950158692841
3121,2011-05-14,2,0,5,22,0,6,0,3,0.54,0.5152,0.94,0.1642,7,19,26,Sáb,Primavera,Chuva leve,0.5306122448979592,0.94,0.19301751498765723
3122,2011-05-14,2,0,5,23,0,6,0,3,0.52,0.5,1.0,0.194,11,33,44,Sáb,Primavera,Chuva leve,0.5102040816326531,1.0,0.22804749030210417
3123,2011-05-15,2,0,5,0,0,0,0,2,0.52,0.5,1.0,0.0,5,34,39,Dom,Primavera,Nublado,0.5102040816326531,1.0,0.0
3124,2011-05-15,2,0,5,1,0,0,0,2,0.52,0.5,1.0,0.1045,4,43,47,Dom,Primavera,Nublado,0.5102040816326531,1.0,0.12284001410603033
3125,2011-05-15,2,0,5,2,0,0,0,2,0.52,0.5,1.0,0.1343,13,37,50,Dom,Primavera,Nublado,0.5102040816326531,1.0,0.15786998942047725
3126,2011-05-15,2,0,5,3,0,0,0,2,0.52,0.5,1.0,0.0,11,21,32,Dom,Primavera,Nublado,0.5102040816326531,1.0,0.0
3127,2011-05-15,2,0,5,4,0,0,0,2,0.52,0.5,1.0,0.0,5,8,13,Dom,Primavera,Nublado,0.5102040816326531,1.0,0.0
3128,2011-05-15,2,0,5,5,0,0,0,3,0.52,0.5,1.0,0.1045,3,11,14,Dom,Primavera,Chuva leve,0.5102040816326531,1.0,0.12284001410603033
3129,2011-05-15,2,0,5,6,0,0,0,2,0.52,0.5,1.0,0.1343,3,14,17,Dom,Primavera,Nublado,0.5102040816326531,1.0,0.15786998942047725
3130,2011-05-15,2,0,5,7,0,0,0,2,0.52,0.5,1.0,0.1343,4,38,42,Dom,Primavera,Nublado,0.5102040816326531,1.0,0.15786998942047725
3131,2011-05-15,2,0,5,8,0,0,0,2,0.54,0.5152,0.94,0.1343,24,46,70,Dom,Primavera,Nublado,0.5306122448979592,0.94,0.15786998942047725
3132,2011-05-15,2,0,5,9,0,0,0,1,0.58,0.5455,0.83,0.2537,36,98,134,Dom,Primavera,Bom tempo,0.5714285714285714,0.83,0.298224991183731
3133,2011-05-15,2,0,5,10,0,0,0,1,0.58,0.5455,0.83,0.2239,73,153,226,Dom,Primavera,Bom tempo,0.5714285714285714,0.83,0.2631950158692841
3134,2011-05-15,2,0,5,11,0,0,0,1,0.6,0.5758,0.78,0.2239,120,202,322,Dom,Primavera,Bom tempo,0.5918367346938775,0.78,0.2631950158692841
3135,2011-05-15,2,0,5,12,0,0,0,1,0.62,0.5909,0.73,0.2985,120,247,367,Dom,Primavera,Bom tempo,0.6122448979591837,0.73,0.3508875044081345
3136,2011-05-15,2,0,5,13,0,0,0,1,0.62,0.5909,0.73,0.2836,195,261,456,Dom,Primavera,Bom tempo,0.6122448979591837,0.73,0.33337251675091106
3137,2011-05-15,2,0,5,14,0,0,0,1,0.64,0.6061,0.73,0.194,183,254,437,Dom,Primavera,Bom tempo,0.6326530612244898,0.73,0.22804749030210417
3138,2011-05-15,2,0,5,15,0,0,0,1,0.66,0.6212,0.69,0.2537,206,253,459,Dom,Primavera,Bom tempo,0.653061224489796,0.69,0.298224991183731
3139,2011-05-15,2,0,5,16,0,0,0,1,0.64,0.6061,0.69,0.2537,158,282,440,Dom,Primavera,Bom tempo,0.6326530612244898,0.69,0.298224991183731
3140,2011-05-15,2,0,5,17,0,0,0,3,0.56,0.5303,0.78,0.3582,137,255,392,Dom,Primavera,Chuva leve,0.5510204081632654,0.78,0.42106500528976143
3141,2011-05-15,2,0,5,18,0,0,0,1,0.56,0.5303,0.78,0.2537,60,177,237,Dom,Primavera,Bom tempo,0.5510204081632654,0.78,0.298224991183731
3142,2011-05-15,2,0,5,19,0,0,0,1,0.56,0.5303,0.83,0.1045,78,153,231,Dom,Primavera,Bom tempo,0.5510204081632654,0.83,0.12284001410603033
3143,2011-05-15,2,0,5,20,0,0,0,1,0.54,0.5152,0.88,0.0,53,138,191,Dom,Primavera,Bom tempo,0.5306122448979592,0.88,0.0
3144,2011-05-15,2,0,5,21,0,0,0,1,0.54,0.5152,0.88,0.0,44,107,151,Dom,Primavera,Bom tempo,0.5306122448979592,0.88,0.0
3145,2011-05-15,2,0,5,22,0,0,0,1,0.56,0.5303,0.83,0.0,29,88,117,Dom,Primavera,Bom tempo,0.5510204081632654,0.83,0.0
3146,2011-05-15,2,0,5,23,0,0,0,1,0.54,0.5152,0.88,0.2239,18,51,69,Dom,Primavera,Bom tempo,0.5306122448979592,0.88,0.2631950158692841
3147,2011-05-16,2,0,5,0,0,1,1,1,0.52,0.5,0.94,0.1045,17,21,38,Seg,Primavera,Bom tempo,0.5102040816326531,0.94,0.12284001410603033
3148,2011-05-16,2,0,5,1,0,1,1,1,0.52,0.5,0.94,0.1343,6,8,14,Seg,Primavera,Bom tempo,0.5102040816326531,0.94,0.15786998942047725
3149,2011-05-16,2,0,5,2,0,1,1,1,0.5,0.4848,1.0,0.0896,4,9,13,Seg,Primavera,Bom tempo,0.4897959183673469,1.0,0.10532502644880687
3150,2011-05-16,2,0,5,3,0,1,1,1,0.5,0.4848,0.94,0.1642,1,3,4,Seg,Primavera,Bom tempo,0.4897959183673469,0.94,0.19301751498765723
3151,2011-05-16,2,0,5,4,0,1,1,1,0.5,0.4848,1.0,0.1343,1,5,6,Seg,Primavera,Bom tempo,0.4897959183673469,1.0,0.15786998942047725
3152,2011-05-16,2,0,5,5,0,1,1,1,0.5,0.4848,0.93,0.194,1,20,21,Seg,Primavera,Bom tempo,0.4897959183673469,0.93,0.22804749030210417
3153,2011-05-16,2,0,5,6,0,1,1,1,0.52,0.5,0.88,0.1642,11,93,104,Seg,Primavera,Bom tempo,0.5102040816326531,0.88,0.19301751498765723
3154,2011-05-16,2,0,5,7,0,1,1,1,0.52,0.5,0.83,0.2836,27,245,272,Seg,Primavera,Bom tempo,0.5102040816326531,0.83,0.33337251675091106
3155,2011-05-16,2,0,5,8,0,1,1,1,0.56,0.5303,0.73,0.2985,28,366,394,Seg,Primavera,Bom tempo,0.5510204081632654,0.73,0.3508875044081345
3156,2011-05-16,2,0,5,9,0,1,1,1,0.6,0.5909,0.69,0.194,38,156,194,Seg,Primavera,Bom tempo,0.5918367346938775,0.69,0.22804749030210417
3157,2011-05-16,2,0,5,10,0,1,1,1,0.62,0.6061,0.65,0.0896,37,75,112,Seg,Primavera,Bom tempo,0.6122448979591837,0.65,0.10532502644880687
3158,2011-05-16,2,0,5,11,0,1,1,1,0.64,0.6212,0.57,0.0,56,129,185,Seg,Primavera,Bom tempo,0.6326530612244898,0.57,0.0
3159,2011-05-16,2,0,5,12,0,1,1,1,0.66,0.6212,0.54,0.0896,72,137,209,Seg,Primavera,Bom tempo,0.653061224489796,0.54,0.10532502644880687
3160,2011-05-16,2,0,5,13,0,1,1,1,0.68,0.6364,0.51,0.0,61,153,214,Seg,Primavera,Bom tempo,0.6734693877551021,0.51,0.0
3161,2011-05-16,2,0,5,14,0,1,1,1,0.68,0.6364,0.51,0.0,76,117,193,Seg,Primavera,Bom tempo,0.6734693877551021,0.51,0.0
3162,2011-05-16,2,0,5,15,0,1,1,1,0.72,0.6667,0.51,0.0,55,110,165,Seg,Primavera,Bom tempo,0.7142857142857143,0.51,0.0
3163,2011-05-16,2,0,5,16,0,1,1,3,0.6,0.5758,0.78,0.2537,45,181,226,Seg,Primavera,Chuva leve,0.5918367346938775,0.78,0.298224991183731
3164,2011-05-16,2,0,5,17,0,1,1,1,0.58,0.5455,0.88,0.2239,47,227,274,Seg,Primavera,Bom tempo,0.5714285714285714,0.88,0.2631950158692841
3165,2011-05-16,2,0,5,18,0,1,1,3,0.58,0.5455,0.83,0.194,55,398,453,Seg,Primavera,Chuva leve,0.5714285714285714,0.83,0.22804749030210417
3166,2011-05-16,2,0,5,19,0,1,1,1,0.58,0.5455,0.83,0.2537,36,272,308,Seg,Primavera,Bom tempo,0.5714285714285714,0.83,0.298224991183731
3167,2011-05-16,2,0,5,20,0,1,1,1,0.58,0.5455,0.83,0.0,31,167,198,Seg,Primavera,Bom tempo,0.5714285714285714,0.83,0.0
3168,2011-05-16,2,0,5,21,0,1,1,1,0.58,0.5455,0.83,0.0,28,149,177,Seg,Primavera,Bom tempo,0.5714285714285714,0.83,0.0
3169,2011-05-16,2,0,5,22,0,1,1,1,0.56,0.5303,0.88,0.0896,22,105,127,Seg,Primavera,Bom tempo,0.5510204081632654,0.88,0.10532502644880687
3170,2011-05-16,2,0,5,23,0,1,1,1,0.56,0.5303,0.88,0.0896,18,39,57,Seg,Primavera,Bom tempo,0.5510204081632654,0.88,0.10532502644880687
3171,2011-05-17,2,0,5,0,0,2,1,2,0.56,0.5303,0.88,0.0,13,18,31,Ter,Primavera,Nublado,0.5510204081632654,0.88,0.0
3172,2011-05-17,2,0,5,1,0,2,1,3,0.56,0.5303,0.88,0.0,7,6,13,Ter,Primavera,Chuva leve,0.5510204081632654,0.88,0.0
3173,2011-05-17,2,0,5,2,0,2,1,3,0.56,0.5303,0.88,0.0,4,4,8,Ter,Primavera,Chuva leve,0.5510204081632654,0.88,0.0
3174,2011-05-17,2,0,5,3,0,2,1,3,0.54,0.5152,0.94,0.2537,1,3,4,Ter,Primavera,Chuva leve,0.5306122448979592,0.94,0.298224991183731
3175,2011-05-17,2,0,5,4,0,2,1,3,0.54,0.5152,0.94,0.2537,2,2,4,Ter,Primavera,Chuva leve,0.5306122448979592,0.94,0.298224991183731
3176,2011-05-17,2,0,5,5,0,2,1,3,0.52,0.5,0.94,0.2537,0,22,22,Ter,Primavera,Chuva leve,0.5102040816326531,0.94,0.298224991183731
3177,2011-05-17,2,0,5,6,0,2,1,3,0.52,0.5,0.94,0.2537,0,49,49,Ter,Primavera,Chuva leve,0.5102040816326531,0.94,0.298224991183731
3178,2011-05-17,2,0,5,7,0,2,1,2,0.52,0.5,0.94,0.2537,13,138,151,Ter,Primavera,Nublado,0.5102040816326531,0.94,0.298224991183731
3179,2011-05-17,2,0,5,8,0,2,1,2,0.52,0.5,0.94,0.2985,22,325,347,Ter,Primavera,Nublado,0.5102040816326531,0.94,0.3508875044081345
3180,2011-05-17,2,0,5,9,0,2,1,2,0.54,0.5152,0.88,0.2537,17,190,207,Ter,Primavera,Nublado,0.5306122448979592,0.88,0.298224991183731
3181,2011-05-17,2,0,5,10,0,2,1,3,0.54,0.5152,0.88,0.2537,31,73,104,Ter,Primavera,Chuva leve,0.5306122448979592,0.88,0.298224991183731
3182,2011-05-17,2,0,5,11,0,2,1,2,0.56,0.5303,0.83,0.4179,26,104,130,Ter,Primavera,Nublado,0.5510204081632654,0.83,0.49124250617138826
3183,2011-05-17,2,0,5,12,0,2,1,3,0.56,0.5303,0.83,0.4179,38,115,153,Ter,Primavera,Chuva leve,0.5510204081632654,0.83,0.49124250617138826
3184,2011-05-17,2,0,5,13,0,2,1,2,0.56,0.5303,0.88,0.3284,31,141,172,Ter,Primavera,Nublado,0.5510204081632654,0.88,0.38603502997531447
3185,2011-05-17,2,0,5,14,0,2,1,1,0.62,0.5909,0.73,0.4627,61,123,184,Ter,Primavera,Bom tempo,0.6122448979591837,0.73,0.5439050193957917
3186,2011-05-17,2,0,5,15,0,2,1,1,0.62,0.6061,0.69,0.4478,79,131,210,Ter,Primavera,Bom tempo,0.6122448979591837,0.69,0.5263900317385682
3187,2011-05-17,2,0,5,16,0,2,1,1,0.62,0.6061,0.61,0.3284,73,217,290,Ter,Primavera,Bom tempo,0.6122448979591837,0.61,0.38603502997531447
3188,2011-05-17,2,0,5,17,0,2,1,1,0.62,0.6061,0.65,0.4179,83,521,604,Ter,Primavera,Bom tempo,0.6122448979591837,0.65,0.49124250617138826
3189,2011-05-17,2,0,5,18,0,2,1,1,0.6,0.5909,0.69,0.2985,54,426,480,Ter,Primavera,Bom tempo,0.5918367346938775,0.69,0.3508875044081345
3190,2011-05-17,2,0,5,19,0,2,1,1,0.6,0.5909,0.69,0.2537,51,298,349,Ter,Primavera,Bom tempo,0.5918367346938775,0.69,0.298224991183731
3191,2011-05-17,2,0,5,20,0,2,1,1,0.58,0.5455,0.83,0.4179,30,253,283,Ter,Primavera,Bom tempo,0.5714285714285714,0.83,0.49124250617138826
3192,2011-05-17,2,0,5,21,0,2,1,1,0.54,0.5152,0.88,0.2537,23,151,174,Ter,Primavera,Bom tempo,0.5306122448979592,0.88,0.298224991183731
3193,2011-05-17,2,0,5,22,0,2,1,2,0.54,0.5152,0.88,0.2836,12,86,98,Ter,Primavera,Nublado,0.5306122448979592,0.88,0.33337251675091106
3194,2011-05-17,2,0,5,23,0,2,1,2,0.54,0.5152,0.88,0.2537,7,49,56,Ter,Primavera,Nublado,0.5306122448979592,0.88,0.298224991183731
3195,2011-05-18,2,0,5,0,0,3,1,2,0.54,0.5152,0.88,0.2239,8,15,23,Qua,Primavera,Nublado,0.5306122448979592,0.88,0.2631950158692841
3196,2011-05-18,2,0,5,1,0,3,1,2,0.54,0.5152,0.88,0.2537,3,9,12,Qua,Primavera,Nublado,0.5306122448979592,0.88,0.298224991183731
3197,2011-05-18,2,0,5,2,0,3,1,3,0.52,0.5,0.94,0.2239,1,5,6,Qua,Primavera,Chuva leve,0.5102040816326531,0.94,0.2631950158692841
3198,2011-05-18,2,0,5,3,0,3,1,3,0.52,0.5,0.94,0.2985,6,3,9,Qua,Primavera,Chuva leve,0.5102040816326531,0.94,0.3508875044081345
3199,2011-05-18,2,0,5,4,0,3,1,3,0.52,0.5,0.94,0.2985,1,2,3,Qua,Primavera,Chuva leve,0.5102040816326531,0.94,0.3508875044081345
3200,2011-05-18,2,0,5,5,0,3,1,1,0.52,0.5,1.0,0.2239,0,9,9,Qua,Primavera,Bom tempo,0.5102040816326531,1.0,0.2631950158692841
3201,2011-05-18,2,0,5,6,0,3,1,1,0.52,0.5,1.0,0.1343,2,99,101,Qua,Primavera,Bom tempo,0.5102040816326531,1.0,0.15786998942047725
3202,2011-05-18,2,0,5,7,0,3,1,1,0.54,0.5152,0.88,0.194,14,260,274,Qua,Primavera,Bom tempo,0.5306122448979592,0.88,0.22804749030210417
3203,2011-05-18,2,0,5,8,0,3,1,1,0.56,0.5303,0.88,0.2836,25,428,453,Qua,Primavera,Bom tempo,0.5510204081632654,0.88,0.33337251675091106
3204,2011-05-18,2,0,5,9,0,3,1,3,0.56,0.5303,0.83,0.2537,26,176,202,Qua,Primavera,Chuva leve,0.5510204081632654,0.83,0.298224991183731
3205,2011-05-18,2,0,5,10,0,3,1,3,0.54,0.5152,0.88,0.2836,33,73,106,Qua,Primavera,Chuva leve,0.5306122448979592,0.88,0.33337251675091106
3206,2011-05-18,2,0,5,11,0,3,1,2,0.54,0.5152,0.94,0.0896,6,17,23,Qua,Primavera,Nublado,0.5306122448979592,0.94,0.10532502644880687
3207,2011-05-18,2,0,5,12,0,3,1,1,0.56,0.5303,0.94,0.2985,12,42,54,Qua,Primavera,Bom tempo,0.5510204081632654,0.94,0.3508875044081345
3208,2011-05-18,2,0,5,13,0,3,1,2,0.56,0.5303,0.83,0.3284,30,92,122,Qua,Primavera,Nublado,0.5510204081632654,0.83,0.38603502997531447
3209,2011-05-18,2,0,5,14,0,3,1,2,0.58,0.5455,0.78,0.2836,44,94,138,Qua,Primavera,Nublado,0.5714285714285714,0.78,0.33337251675091106
3210,2011-05-18,2,0,5,15,0,3,1,1,0.6,0.5758,0.78,0.2537,34,133,167,Qua,Primavera,Bom tempo,0.5918367346938775,0.78,0.298224991183731
3211,2011-05-18,2,0,5,16,0,3,1,1,0.6,0.5909,0.73,0.194,53,241,294,Qua,Primavera,Bom tempo,0.5918367346938775,0.73,0.22804749030210417
3212,2011-05-18,2,0,5,17,0,3,1,1,0.6,0.5909,0.69,0.1343,78,487,565,Qua,Primavera,Bom tempo,0.5918367346938775,0.69,0.15786998942047725
3213,2011-05-18,2,0,5,18,0,3,1,1,0.6,0.5909,0.73,0.2239,58,431,489,Qua,Primavera,Bom tempo,0.5918367346938775,0.73,0.2631950158692841
3214,2011-05-18,2,0,5,19,0,3,1,3,0.56,0.5303,0.88,0.1343,43,288,331,Qua,Primavera,Chuva leve,0.5510204081632654,0.88,0.15786998942047725
3215,2011-05-18,2,0,5,20,0,3,1,3,0.56,0.5303,0.88,0.1343,24,189,213,Qua,Primavera,Chuva leve,0.5510204081632654,0.88,0.15786998942047725
3216,2011-05-18,2,0,5,21,0,3,1,1,0.52,0.5,0.88,0.0,11,74,85,Qua,Primavera,Bom tempo,0.5102040816326531,0.88,0.0
3217,2011-05-18,2,0,5,22,0,3,1,1,0.52,0.5,0.83,0.0,14,103,117,Qua,Primavera,Bom tempo,0.5102040816326531,0.83,0.0
3218,2011-05-18,2,0,5,23,0,3,1,1,0.52,0.5,0.94,0.0896,10,49,59,Qua,Primavera,Bom tempo,0.5102040816326531,0.94,0.10532502644880687
3219,2011-05-19,2,0,5,0,0,4,1,1,0.52,0.5,0.94,0.1045,6,23,29,Qui,Primavera,Bom tempo,0.5102040816326531,0.94,0.12284001410603033
3220,2011-05-19,2,0,5,1,0,4,1,1,0.5,0.4848,0.94,0.0,2,4,6,Qui,Primavera,Bom tempo,0.4897959183673469,0.94,0.0
3221,2011-05-19,2,0,5,2,0,4,1,1,0.5,0.4848,0.94,0.0,3,12,15,Qui,Primavera,Bom tempo,0.4897959183673469,0.94,0.0
3222,2011-05-19,2,0,5,3,0,4,1,1,0.48,0.4697,1.0,0.0,1,3,4,Qui,Primavera,Bom tempo,0.4693877551020408,1.0,0.0
3223,2011-05-19,2,0,5,4,0,4,1,1,0.48,0.4697,0.94,0.0,2,3,5,Qui,Primavera,Bom tempo,0.4693877551020408,0.94,0.0
3224,2011-05-19,2,0,5,5,0,4,1,1,0.48,0.4697,0.94,0.0,2,24,26,Qui,Primavera,Bom tempo,0.4693877551020408,0.94,0.0
3225,2011-05-19,2,0,5,6,0,4,1,2,0.5,0.4848,0.94,0.0,17,86,103,Qui,Primavera,Nublado,0.4897959183673469,0.94,0.0
3226,2011-05-19,2,0,5,7,0,4,1,2,0.5,0.4848,1.0,0.0,18,239,257,Qui,Primavera,Nublado,0.4897959183673469,1.0,0.0
3227,2011-05-19,2,0,5,8,0,4,1,2,0.52,0.5,0.88,0.0,34,453,487,Qui,Primavera,Nublado,0.5102040816326531,0.88,0.0
3228,2011-05-19,2,0,5,9,0,4,1,2,0.54,0.5152,0.88,0.0896,40,176,216,Qui,Primavera,Nublado,0.5306122448979592,0.88,0.10532502644880687
3229,2011-05-19,2,0,5,10,0,4,1,2,0.54,0.5152,0.83,0.0,35,95,130,Qui,Primavera,Nublado,0.5306122448979592,0.83,0.0
3230,2011-05-19,2,0,5,11,0,4,1,3,0.54,0.5152,0.88,0.1642,53,111,164,Qui,Primavera,Chuva leve,0.5306122448979592,0.88,0.19301751498765723
3231,2011-05-19,2,0,5,12,0,4,1,2,0.58,0.5455,0.78,0.1045,38,130,168,Qui,Primavera,Nublado,0.5714285714285714,0.78,0.12284001410603033
3232,2011-05-19,2,0,5,13,0,4,1,3,0.58,0.5455,0.64,0.2537,44,139,183,Qui,Primavera,Chuva leve,0.5714285714285714,0.64,0.298224991183731
3233,2011-05-19,2,0,5,14,0,4,1,3,0.54,0.5152,0.73,0.194,43,137,180,Qui,Primavera,Chuva leve,0.5306122448979592,0.73,0.22804749030210417
3234,2011-05-19,2,0,5,15,0,4,1,1,0.56,0.5303,0.78,0.1642,63,125,188,Qui,Primavera,Bom tempo,0.5510204081632654,0.78,0.19301751498765723
3235,2011-05-19,2,0,5,16,0,4,1,1,0.58,0.5455,0.64,0.194,55,247,302,Qui,Primavera,Bom tempo,0.5714285714285714,0.64,0.22804749030210417
3236,2011-05-19,2,0,5,17,0,4,1,1,0.56,0.5303,0.78,0.1642,60,487,547,Qui,Primavera,Bom tempo,0.5510204081632654,0.78,0.19301751498765723
3237,2011-05-19,2,0,5,18,0,4,1,1,0.6,0.6212,0.55,0.1642,59,454,513,Qui,Primavera,Bom tempo,0.5918367346938775,0.55,0.19301751498765723
3238,2011-05-19,2,0,5,19,0,4,1,1,0.58,0.5455,0.6,0.1343,65,345,410,Qui,Primavera,Bom tempo,0.5714285714285714,0.6,0.15786998942047725
3239,2011-05-19,2,0,5,20,0,4,1,1,0.54,0.5152,0.77,0.2836,46,236,282,Qui,Primavera,Bom tempo,0.5306122448979592,0.77,0.33337251675091106
3240,2011-05-19,2,0,5,21,0,4,1,1,0.54,0.5152,0.77,0.2836,29,180,209,Qui,Primavera,Bom tempo,0.5306122448979592,0.77,0.33337251675091106
3241,2011-05-19,2,0,5,22,0,4,1,3,0.5,0.4848,0.82,0.2985,11,68,79,Qui,Primavera,Chuva leve,0.4897959183673469,0.82,0.3508875044081345
3242,2011-05-19,2,0,5,23,0,4,1,1,0.48,0.4697,0.94,0.0,9,63,72,Qui,Primavera,Bom tempo,0.4693877551020408,0.94,0.0
3243,2011-05-20,2,0,5,0,0,5,1,1,0.46,0.4545,0.94,0.0896,15,33,48,Sex,Primavera,Bom tempo,0.4489795918367347,0.94,0.10532502644880687
